,barrels08,city08,city08U,cityA08,cityA08U,cityCD,cityE,cityUF,co2,co2A,co2TailpipeAGpm,co2TailpipeGpm,comb08,comb08U,combA08,combA08U,combE,combinedCD,combinedUF,cylinders,displ,drive,engId,eng_dscr,feScore,fuelCost08,fuelCostA08,fuelType,fuelType1,ghgScore,ghgScoreA,highway08,highway08U,highwayA08,highwayA08U,highwayCD,highwayE,highwayUF,hlv,hpv,id,lv2,lv4,make,model,mpgData,phevBlended,pv2,pv4,range,rangeCity,rangeCityA,rangeHwy,rangeHwyA,trany,UCity,UCityA,UHighway,UHighwayA,VClass,year,youSaveSpend,guzzler,trans_dscr,tCharger,sCharger,atvType,fuelType2,rangeA,evMotor,mfrCode,c240Dscr,charge240b,c240bDscr,createdOn,modifiedOn,startStop,phevCity,phevHwy,phevComb
44048,13.52318182,19,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,403.9545455,22,0.0,0,0.0,0.0,0.0,0.0,4.0,2.5,Rear-Wheel Drive,4807,(FFS),-1,3150,0,Regular,Regular Gasoline,-1,-1,26,0.0,0,0.0,0.0,0.0,0.0,0,0,925,0,0,Chevrolet,Astro 2WD (cargo),N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 5-spd,24.4444,0.0,36.0,0.0,Vans,1985,-3000,,SIL,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44049,16.52833333,16,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,493.7222222,18,0.0,0,0.0,0.0,0.0,0.0,6.0,4.3,Rear-Wheel Drive,4853,,-1,3850,0,Regular,Regular Gasoline,-1,-1,22,0.0,0,0.0,0.0,0.0,0.0,0,0,926,0,0,Chevrolet,Astro 2WD (cargo),N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,20.0,0.0,31.0,0.0,Vans,1985,-6500,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44050,17.50058824,15,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,522.7647059,17,0.0,0,0.0,0.0,0.0,0.0,6.0,4.3,Rear-Wheel Drive,4850,,-1,4100,0,Regular,Regular Gasoline,-1,-1,20,0.0,0,0.0,0.0,0.0,0.0,0,0,927,0,0,Chevrolet,Astro 2WD (cargo),N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 4-spd,19.0,0.0,28.0,0.0,Vans,1985,-7750,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44051,15.65842105,16,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,467.7368421,19,0.0,0,0.0,0.0,0.0,0.0,6.0,4.3,Rear-Wheel Drive,4854,,-1,3650,0,Regular,Regular Gasoline,-1,-1,23,0.0,0,0.0,0.0,0.0,0.0,0,0,928,0,0,Chevrolet,Astro 2WD (cargo),N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 5-spd,20.0,0.0,32.0,0.0,Vans,1985,-5500,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44052,18.594375,15,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,555.4375,16,0.0,0,0.0,0.0,0.0,0.0,6.0,4.3,Rear-Wheel Drive,4851,,-1,4350,0,Regular,Regular Gasoline,-1,-1,17,0.0,0,0.0,0.0,0.0,0.0,0,0,929,0,0,Chevrolet,G10/20 Van 2WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 3-spd,18.8889,0.0,23.0769,0.0,Vans,1985,-9000,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44053,17.50058824,15,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,522.7647059,17,0.0,0,0.0,0.0,0.0,0.0,6.0,4.3,Rear-Wheel Drive,4853,,-1,4100,0,Regular,Regular Gasoline,-1,-1,19,0.0,0,0.0,0.0,0.0,0.0,0,0,930,0,0,Chevrolet,G10/20 Van 2WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,18.8889,0.0,26.0,0.0,Vans,1985,-7750,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44054,17.50058824,16,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,522.7647059,17,0.0,0,0.0,0.0,0.0,0.0,6.0,4.3,Rear-Wheel Drive,4852,,-1,4100,0,Regular,Regular Gasoline,-1,-1,19,0.0,0,0.0,0.0,0.0,0.0,0,0,931,0,0,Chevrolet,G10/20 Van 2WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 3-spd,20.0,0.0,26.0,0.0,Vans,1985,-7750,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44055,17.50058824,15,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,522.7647059,17,0.0,0,0.0,0.0,0.0,0.0,6.0,4.3,Rear-Wheel Drive,4851,,-1,4100,0,Regular,Regular Gasoline,-1,-1,20,0.0,0,0.0,0.0,0.0,0.0,0,0,932,0,0,Chevrolet,G10/20 Van 2WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Manual 4-spd,19.0,0.0,27.0,0.0,Vans,1985,-7750,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44056,22.88538462,12,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,683.6153846,13,0.0,0,0.0,0.0,0.0,0.0,8.0,5.0,Rear-Wheel Drive,4861,(GM-CHEV),-1,5350,0,Regular,Regular Gasoline,-1,-1,15,0.0,0,0.0,0.0,0.0,0.0,0,0,933,0,0,Chevrolet,G10/20 Van 2WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 3-spd,15.0,0.0,21.0,0.0,Vans,1985,-14000,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
44057,19.834,14,0.0,0,0.0,0.0,0.0,0.0,-1,-1,0.0,592.4666667,15,0.0,0,0.0,0.0,0.0,0.0,8.0,5.0,Rear-Wheel Drive,4860,(GM-CHEV),-1,4600,0,Regular,Regular Gasoline,-1,-1,18,0.0,0,0.0,0.0,0.0,0.0,0,0,934,0,0,Chevrolet,G10/20 Van 2WD,N,False,0,0,0,0.0,0.0,0.0,0.0,Automatic 4-spd,17.0,0.0,25.0,0.0,Vans,1985,-10250,,,,,,,,,,,0.0,,Tue Jan 01 00:00:00 EST 2013,Tue Jan 01 00:00:00 EST 2013,,0,0,0
